,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2022-05-17,71.0,74.64,79.82,69.0,99106,739803376.0,23.12,59.49,27.84,66.07,SZ301257
1,2022-05-18,65.89,68.9,71.0,61.55,84228,550850880.0,12.66,-7.69,-5.74,56.15,SZ301257
2,2022-05-19,67.59,73.95,76.58,67.02,80817,584249136.0,13.88,7.33,5.05,53.88,SZ301257
3,2022-05-20,74.0,65.51,75.26,65.5,74643,518823088.0,13.2,-11.41,-8.44,49.76,SZ301257
4,2022-05-23,63.8,64.07,67.2,62.62,55428,356260560.0,6.99,-2.2,-1.44,36.95,SZ301257
5,2022-05-24,62.1,55.1,62.48,55.01,67647,395541728.0,11.66,-14.0,-8.97,45.1,SZ301257
6,2022-05-25,55.0,53.89,55.78,53.0,39475,212411689.0,5.05,-2.2,-1.21,26.32,SZ301257
7,2022-05-26,53.95,52.46,54.5,51.48,35545,187250268.0,5.6,-2.65,-1.43,23.7,SZ301257
8,2022-05-27,51.87,52.0,53.38,51.81,31950,168038796.0,2.99,-0.88,-0.46,21.3,SZ301257
9,2022-05-30,52.2,54.2,54.2,50.11,38437,201285947.0,7.87,4.23,2.2,25.62,SZ301257
10,2022-05-31,53.42,53.53,54.3,52.45,30796,164117972.0,3.41,-1.24,-0.67,20.53,SZ301257
11,2022-06-01,53.02,52.37,54.78,52.12,33940,181119227.0,4.97,-2.17,-1.16,22.63,SZ301257
12,2022-06-02,51.92,53.14,53.2,51.37,25686,134893677.0,3.49,1.47,0.77,17.12,SZ301257
13,2022-06-06,53.71,55.81,56.54,53.71,37126,204748351.0,5.33,5.02,2.67,24.75,SZ301257
14,2022-06-07,54.71,53.81,55.35,53.39,25464,138345908.0,3.51,-3.58,-2.0,16.98,SZ301257
15,2022-06-08,53.5,52.55,54.39,52.25,21720,115371559.0,3.98,-2.34,-1.26,14.48,SZ301257
16,2022-06-09,52.98,49.57,52.98,49.35,25238,127987832.0,6.91,-5.67,-2.98,16.83,SZ301257
17,2022-06-10,49.0,50.04,50.24,48.6,12641,62869907.0,3.31,0.95,0.47,8.43,SZ301257
18,2022-06-13,49.19,50.0,50.19,49.19,10770,53567659.0,2.0,-0.08,-0.04,7.18,SZ301257
19,2022-06-14,49.51,48.57,49.69,47.1,18630,89804430.0,5.18,-2.86,-1.43,12.42,SZ301257
20,2022-06-15,48.79,49.12,49.49,48.3,14566,71262208.0,2.45,1.13,0.55,9.71,SZ301257
21,2022-06-16,49.8,50.48,51.79,49.5,24469,124336411.0,4.66,2.77,1.36,16.31,SZ301257
22,2022-06-17,49.31,50.05,50.33,48.51,17556,86778434.0,3.61,-0.85,-0.43,11.7,SZ301257
