,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2023-03-13,30.16,36.19,36.19,30.16,12766,45978249.81,24.0,44.01,11.06,4.56,SZ001368
1,2023-03-14,36.17,32.57,36.17,32.57,138832,467954549.63,9.95,-10.0,-3.62,49.58,SZ001368
2,2023-03-15,30.16,30.11,31.31,30.1,102487,311934409.0,3.72,-7.55,-2.46,36.6,SZ001368
3,2023-03-16,29.3,28.38,29.6,28.33,87820,253799374.03,4.22,-5.75,-1.73,31.36,SZ001368
4,2023-03-17,28.38,27.7,28.5,27.61,71495,200041914.57,3.14,-2.4,-0.68,25.53,SZ001368
5,2023-03-20,27.54,26.75,27.6,26.67,60612,163623343.86,3.36,-3.43,-0.95,21.65,SZ001368
6,2023-03-21,26.7,26.87,27.13,26.47,41762,112255088.48,2.47,0.45,0.12,14.92,SZ001368
7,2023-03-22,26.87,26.85,27.04,26.63,39764,106654841.16,1.53,-0.07,-0.02,14.2,SZ001368
8,2023-03-23,26.8,27.17,27.18,26.66,40178,108291496.61,1.94,1.19,0.32,14.35,SZ001368
9,2023-03-24,27.0,26.93,27.07,26.8,30253,81468595.96,0.99,-0.88,-0.24,10.8,SZ001368
10,2023-03-27,28.0,27.06,28.12,27.06,40419,110537677.99,3.94,0.48,0.13,14.44,SZ001368
11,2023-03-28,26.65,27.82,28.28,26.61,59820,163786526.53,6.17,2.81,0.76,21.36,SZ001368
12,2023-03-29,27.42,27.14,27.62,26.9,41663,113424931.82,2.59,-2.44,-0.68,14.88,SZ001368
13,2023-03-30,27.02,27.0,27.37,26.5,34797,93669117.75,3.21,-0.52,-0.14,12.43,SZ001368
14,2023-03-31,26.99,27.57,27.9,26.89,47217,130016806.2,3.74,2.11,0.57,16.86,SZ001368
15,2023-04-03,27.32,27.82,28.1,27.27,39371,109106397.42,3.01,0.91,0.25,14.06,SZ001368
16,2023-04-04,27.88,30.6,30.6,27.65,92266,273695757.35,10.6,9.99,2.78,32.95,SZ001368
17,2023-04-06,30.82,29.22,30.82,28.57,126688,370711965.46,7.35,-4.51,-1.38,45.25,SZ001368
18,2023-04-07,28.65,28.3,28.8,28.25,62510,178083227.22,1.88,-3.15,-0.92,22.32,SZ001368
19,2023-04-10,28.12,27.24,28.2,27.07,54620,150156364.71,3.99,-3.75,-1.06,19.51,SZ001368
20,2023-04-11,27.05,27.22,27.33,26.82,31225,84743885.37,1.87,-0.07,-0.02,11.15,SZ001368
21,2023-04-12,27.29,26.93,27.32,26.8,30820,83069376.44,1.91,-1.07,-0.29,11.01,SZ001368
22,2023-04-13,26.81,27.29,27.53,26.63,38616,104650690.76,3.34,1.34,0.36,13.79,SZ001368
23,2023-04-14,27.13,27.09,27.23,26.84,23745,64245656.02,1.43,-0.73,-0.2,8.48,SZ001368
24,2023-04-17,27.11,26.99,27.12,26.77,19821,53324868.08,1.29,-0.37,-0.1,7.08,SZ001368
25,2023-04-18,26.94,26.64,26.94,26.53,22527,60086462.12,1.52,-1.3,-0.35,8.05,SZ001368
26,2023-04-19,26.67,25.95,26.74,25.91,31471,82587540.8,3.12,-2.59,-0.69,11.24,SZ001368
27,2023-04-20,25.87,25.24,25.98,25.19,27096,68873837.02,3.04,-2.74,-0.71,9.68,SZ001368
28,2023-04-21,25.2,24.6,25.56,24.57,23976,60166767.82,3.92,-2.54,-0.64,8.56,SZ001368
29,2023-04-24,24.34,24.51,24.6,24.1,14298,34842167.3,2.03,-0.37,-0.09,5.11,SZ001368
30,2023-04-25,24.54,23.33,24.65,23.11,24839,58700162.72,6.28,-4.81,-1.18,8.87,SZ001368
31,2023-04-26,23.33,23.33,23.6,23.11,14427,33758934.3,2.1,0.0,0.0,5.15,SZ001368
32,2023-04-27,23.22,23.37,23.69,23.19,13959,32788279.73,2.14,0.17,0.04,4.99,SZ001368
33,2023-04-28,23.41,23.89,23.94,23.38,17881,42377533.34,2.4,2.23,0.52,6.39,SZ001368
34,2023-05-04,23.66,24.02,24.15,23.66,13850,33179424.23,2.05,0.54,0.13,4.95,SZ001368
