,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2017-08-16,1.65,1.65,1.65,1.65,4000,652000.0,0.0,-89.69,-14.35,0.8,SZ835892
1,2020-04-10,5.18,5.18,5.18,5.18,1,500.0,0.0,213.94,3.53,0.0,SZ835892
2,2020-04-13,2.8,2.8,2.8,2.8,1,262.0,0.0,-45.95,-2.38,0.0,SZ835892
3,2020-10-15,5.24,5.24,5.24,5.24,1,488.0,0.0,87.14,2.44,0.0,SZ835892
4,2022-10-18,17.23,17.6,18.51,16.82,120992,196305514.79,9.81,2.21,0.38,50.68,SZ835892
5,2022-10-19,17.59,17.8,18.82,17.36,59501,99056406.51,8.3,1.14,0.2,24.92,SZ835892
6,2022-10-20,17.52,18.02,18.2,17.02,53243,86949550.31,6.63,1.24,0.22,22.3,SZ835892
7,2022-10-21,17.92,18.55,18.72,17.45,53186,90177359.45,7.05,2.94,0.53,22.28,SZ835892
8,2022-10-24,18.55,17.82,19.35,17.72,44610,76509102.2,8.79,-3.94,-0.73,18.69,SZ835892
9,2022-10-25,17.81,17.16,17.81,17.06,30928,49602754.04,4.21,-3.7,-0.66,12.96,SZ835892
10,2022-10-26,17.4,17.63,18.19,17.21,32282,52833812.56,5.71,2.74,0.47,13.52,SZ835892
11,2022-10-27,17.7,17.2,17.7,16.72,28553,45566013.91,5.56,-2.44,-0.43,11.96,SZ835892
12,2022-10-28,17.31,16.82,17.37,16.22,23950,37524810.41,6.69,-2.21,-0.38,10.03,SZ835892
13,2022-10-31,16.72,15.92,16.82,15.11,22802,33846008.17,10.17,-5.35,-0.9,11.26,SZ835892
14,2022-11-01,16.01,15.79,16.2,15.52,10629,15438818.53,4.27,-0.82,-0.13,5.25,SZ835892
15,2022-11-02,15.92,16.23,16.71,15.32,17576,25983227.95,8.8,2.79,0.44,8.68,SZ835892
16,2022-11-03,16.22,16.67,17.18,15.95,15866,24568971.85,7.58,2.71,0.44,7.84,SZ835892
17,2022-11-04,16.79,16.63,17.02,16.17,14904,22915961.47,5.1,-0.24,-0.04,7.36,SZ835892
18,2022-11-07,16.69,16.33,16.72,16.24,12491,18944205.82,2.89,-1.8,-0.3,6.17,SZ835892
19,2022-11-08,16.39,15.98,16.39,15.85,8979,13340429.11,3.31,-2.14,-0.35,4.44,SZ835892
20,2022-11-09,15.99,15.58,15.99,15.54,8305,12017767.96,2.82,-2.5,-0.4,4.1,SZ835892
21,2022-11-10,15.61,15.54,15.86,15.43,6213,8953087.6,2.76,-0.26,-0.04,3.07,SZ835892
22,2022-11-11,15.89,15.31,15.91,15.22,10471,14936425.42,4.44,-1.48,-0.23,5.17,SZ835892
23,2022-11-14,15.33,14.71,15.45,14.58,15182,20799337.71,5.68,-3.92,-0.6,7.5,SZ835892
24,2022-11-15,14.9,14.72,14.9,14.42,6674,9017233.16,3.26,0.07,0.01,3.3,SZ835892
25,2022-11-16,15.0,15.26,15.71,15.0,14272,20225103.99,4.82,3.67,0.54,7.05,SZ835892
26,2022-11-17,15.13,15.36,15.45,14.73,9108,12674727.72,4.72,0.66,0.1,4.5,SZ835892
27,2022-11-18,15.71,16.28,16.82,15.67,28880,43519875.54,7.49,5.99,0.92,14.27,SZ835892
28,2022-11-21,17.3,17.16,18.09,16.85,34523,56082950.03,7.62,5.41,0.88,17.05,SZ835892
29,2022-11-22,17.52,16.29,17.52,16.2,21729,33517932.42,7.69,-5.07,-0.87,10.73,SZ835892
30,2022-11-23,16.42,16.76,16.89,15.67,17178,25839142.66,7.49,2.89,0.47,8.48,SZ835892
31,2022-11-24,16.76,17.37,18.07,16.76,24146,39287941.89,7.82,3.64,0.61,11.93,SZ835892
32,2022-11-25,17.32,17.37,17.51,16.54,16055,25374933.82,5.58,0.0,0.0,7.93,SZ835892
33,2022-11-28,17.22,16.83,17.52,16.82,10098,16012973.51,4.03,-3.11,-0.54,4.99,SZ835892
34,2022-11-29,16.99,16.7,16.99,16.53,12176,18849901.99,2.73,-0.77,-0.13,6.01,SZ835892
35,2022-11-30,16.81,16.22,16.81,16.06,9700,14708939.89,4.49,-2.87,-0.48,4.79,SZ835892
36,2022-12-01,16.45,15.69,16.45,15.22,15909,23181880.35,7.58,-3.27,-0.53,7.86,SZ835892
37,2022-12-02,15.8,15.52,15.86,15.28,13700,19596165.08,3.7,-1.08,-0.17,6.77,SZ835892
38,2022-12-05,15.47,15.27,15.61,15.18,15522,21796119.95,2.77,-1.61,-0.25,7.67,SZ835892
39,2022-12-06,15.35,15.36,15.36,15.23,4891,6892042.2,0.85,0.59,0.09,2.42,SZ835892
